order_id,customer_id,restaurant_id,order_item,order_date,order_time,order_status,total_amount
32,7,81,Dal Baati Churma,18/12/24,13:17:06,Confirmed,1623.39
33,5,136,Mango Lassi,19/09/24,10:38:18,Cancelled,959.01
34,27,34,Chole Bhature,22/07/24,20:11:49,Delivered,1605.34
35,29,113,Tandoori Roti,29/12/24,11:23:43,Delivered,770.54
36,44,72,Gajar Ka Halwa,26/03/24,11:14:49,Pending,866.21
37,33,149,Pesarattu,10/05/24,21:15:34,Confirmed,550.3
38,11,14,Mysore Pak,29/10/24,16:02:19,Delivered,467.03
39,4,136,Thepla,14/04/24,21:44:33,Delivered,301.03
40,24,21,Gulab Jamun,06/11/24,21:20:09,Delivered,418.3
41,50,73,Baingan Bharta,07/01/25,11:17:40,Preparing,1584.1
42,20,2,Mysore Pak,20/07/24,20:28:12,Pending,859.81
43,40,27,Vada Pav,04/03/24,10:43:11,Cancelled,977.43
44,44,75,Dal Baati Churma,27/12/24,14:11:13,Confirmed,1634.58
45,44,98,Paneer Tikka,05/11/24,21:39:00,Out for Delivery,383.11
46,36,19,Malpua,21/06/24,14:27:01,Preparing,754.5
47,29,59,Pani Puri,09/04/24,14:02:58,Pending,1732.28
48,13,52,Malpua,21/03/24,11:55:48,Confirmed,997.34
49,4,16,Tandoori Roti,09/06/24,19:17:45,Preparing,1876.76
50,26,33,Dal Baati Churma,15/06/24,10:19:24,Cancelled,607.73
51,20,13,Chilli Paneer,13/10/24,15:23:16,Confirmed,774.85
52,6,129,Litti Chokha,09/07/24,13:19:41,Preparing,1407.42
53,33,92,Idli Sambar,27/03/24,17:09:54,Delivered,935.37
54,30,34,Dal Baati Churma,01/04/24,10:02:38,Delivered,151.14
55,18,146,Jalebi,23/02/24,18:13:05,Delivered,1507.92
56,19,108,Aloo Paratha,28/08/24,22:41:50,Confirmed,1220.94
57,7,84,Tandoori Roti,03/03/24,12:01:43,Cancelled,1482.11
58,16,11,Samosa,08/04/24,17:20:29,Pending,959.03
59,45,10,Rajma Chawal,30/09/24,20:52:32,Delivered,261.52
60,29,86,Misal Pav,11/09/24,11:51:24,Preparing,951.86
61,11,63,Kolkata Roll,05/08/24,17:45:23,Cancelled,1941.85
62,14,36,Aloo Paratha,12/01/25,17:36:43,Pending,819.64
63,41,1,Malpua,03/03/24,13:50:12,Pending,1041.95
64,29,94,Biryani,25/07/24,19:05:13,Delivered,1102.49
65,3,36,Egg Curry,16/02/24,12:03:35,Pending,1884.6
66,44,78,Fish Curry,09/09/24,20:05:27,Out for Delivery,1571.3
67,33,101,Mango Lassi,30/08/24,18:19:56,Out for Delivery,912.77
68,10,13,Samosa,20/07/24,21:51:39,Cancelled,1912.76
69,17,32,Rajma Chawal,24/04/24,16:18:01,Pending,588.56
70,12,4,Chole Bhature,27/09/24,13:21:32,Delivered,163.77
71,32,131,Dosa,28/06/24,12:23:53,Delivered,817.37
72,19,142,Litti Chokha,09/09/24,10:56:45,Confirmed,224.71
73,42,71,Kadhai Paneer,13/12/24,17:30:20,Preparing,567.06
74,29,80,Pani Puri,22/02/24,12:06:21,Confirmed,486.09
75,7,110,Biryani,13/07/24,21:50:45,Pending,676.27
76,46,125,Rasgulla,22/08/24,11:32:27,Out for Delivery,1496.98
77,37,88,Samosa,23/12/24,18:28:36,Delivered,1804.56
78,18,33,Paneer Tikka,12/10/24,15:42:46,Pending,657.13
79,47,110,Rogan Josh,29/06/24,12:31:03,Out for Delivery,1406.39
80,28,76,Kheer,26/09/24,17:01:21,Preparing,1714.84
81,8,60,Mango Lassi,05/08/24,19:27:00,Out for Delivery,1661.22
82,21,31,Tandoori Roti,20/09/24,22:33:59,Pending,959.36
83,10,23,Litti Chokha,30/01/25,13:47:19,Preparing,1892.79
84,24,44,Pav Bhaji,05/10/24,14:26:50,Pending,844.7
85,8,1,Fish Curry,25/10/24,20:01:13,Confirmed,288.12
86,1,34,Veg Kolhapuri,12/02/24,11:01:53,Preparing,925.94
87,5,99,Kadhai Paneer,25/10/24,10:16:40,Out for Delivery,1933.75
88,11,3,Dosa,12/07/24,17:40:11,Delivered,1749.64
89,46,8,Kheer,10/06/24,21:27:55,Cancelled,538.37
90,1,24,Chilli Paneer,05/02/25,16:30:54,Confirmed,655.03
91,47,100,Paneer Tikka,19/11/24,21:24:42,Confirmed,1679.87
92,49,47,Tandoori Roti,11/09/24,21:14:43,Pending,645.4
93,9,62,Misal Pav,11/09/24,16:01:48,Confirmed,1659.79
94,20,123,Misal Pav,13/12/24,19:55:11,Pending,1185.45
95,39,48,Biryani,22/02/24,21:17:20,Confirmed,1150.08
96,30,95,Mutton Curry,05/07/24,16:17:45,Preparing,555.33
97,23,48,Pani Puri,08/04/24,19:29:20,Cancelled,1981.65
98,14,82,Mysore Pak,13/05/24,13:53:59,Out for Delivery,1235.79
99,43,75,Dosa,06/01/25,22:04:48,Delivered,1039.63
100,1,104,Egg Curry,18/11/24,18:53:11,Out for Delivery,1651.24
101,15,89,Tandoori Roti,09/03/24,18:07:35,Pending,1158.47
102,8,92,Litti Chokha,07/07/24,11:45:58,Delivered,417.37
103,12,132,Pesarattu,16/02/24,15:58:31,Out for Delivery,508.41
104,41,41,Kheer,06/11/24,20:45:51,Pending,238.13
105,6,137,Mutton Curry,25/03/24,19:28:10,Cancelled,1718.58
106,15,43,Veg Kolhapuri,17/12/24,14:59:36,Preparing,649.33
107,35,122,Rogan Josh,21/08/24,14:56:06,Pending,912.81
108,44,84,Rasgulla,14/10/24,12:48:49,Confirmed,549.98
109,9,12,Pesarattu,30/01/25,20:04:18,Out for Delivery,810.14
110,41,120,Jalebi,09/09/24,19:26:15,Confirmed,1382.5
111,37,120,Biryani,13/01/25,18:06:19,Cancelled,179.0
112,21,39,Malpua,24/12/24,12:55:33,Preparing,1043.27
113,13,100,Kolkata Roll,19/06/24,21:25:40,Cancelled,1244.53
114,6,79,Chilli Paneer,21/04/24,14:42:05,Confirmed,1544.32
115,7,64,Hyderabadi Biryani,08/01/25,22:17:40,Confirmed,304.52
116,13,4,Pav Bhaji,14/05/24,19:48:15,Cancelled,1231.29
117,5,110,Butter Chicken,05/02/25,22:54:37,Delivered,609.79
118,30,53,Rajma Chawal,12/03/24,17:40:33,Cancelled,1972.91
119,34,94,Dhokla,11/07/24,15:26:24,Out for Delivery,975.45
120,37,6,Veg Kolhapuri,14/06/24,19:42:38,Confirmed,741.73
121,24,92,Dhokla,14/07/24,19:22:31,Cancelled,847.82
122,47,90,Chilli Paneer,31/12/24,19:48:54,Cancelled,1269.44
123,20,41,Rajma Chawal,11/02/24,20:53:58,Out for Delivery,1863.5
124,50,1,Aloo Paratha,03/01/25,21:04:44,Confirmed,302.87
125,14,19,Mutton Curry,25/08/24,13:24:16,Out for Delivery,233.88
126,25,103,Dal Baati Churma,12/11/24,16:17:42,Confirmed,1962.3
127,1,36,Pesarattu,16/09/24,12:41:53,Preparing,134.04
128,20,34,Veg Kolhapuri,27/12/24,12:45:41,Pending,104.46
129,31,111,Kheer,18/08/24,17:25:02,Delivered,947.19
130,21,89,Hyderabadi Biryani,28/10/24,20:29:41,Confirmed,1339.73
131,39,44,Kheer,17/08/24,13:16:16,Delivered,664.97
132,34,77,Kadhai Paneer,05/12/24,13:10:21,Confirmed,1422.86
133,5,65,Mysore Pak,11/07/24,17:48:53,Cancelled,1595.14
134,40,66,Litti Chokha,13/02/24,21:53:42,Delivered,1108.71
135,1,29,Rogan Josh,29/07/24,17:12:12,Preparing,867.89
136,46,144,Gulab Jamun,19/07/24,21:38:04,Confirmed,257.15
137,22,32,Malpua,22/07/24,15:13:11,Delivered,1571.01
138,16,74,Rogan Josh,27/05/24,19:59:31,Pending,169.33
139,34,19,Vada Pav,14/11/24,16:32:24,Confirmed,302.94
140,30,59,Jalebi,11/01/25,20:21:40,Confirmed,1877.21
141,14,144,Jalebi,23/07/24,10:52:08,Preparing,907.24
142,13,3,Mango Lassi,16/10/24,21:25:55,Cancelled,372.77
143,33,101,Mutton Curry,14/08/24,21:23:44,Preparing,1401.21
144,4,95,Chicken Tikka Masala,20/11/24,22:23:22,Pending,262.07
145,38,35,Vada Pav,13/03/24,16:36:12,Pending,612.23
146,21,40,Kadhai Paneer,23/02/24,18:16:04,Out for Delivery,1861.83
147,21,104,Biryani,17/02/24,13:38:05,Out for Delivery,1364.03
148,8,43,Fish Curry,05/10/24,22:10:21,Pending,1001.88
149,33,78,Malpua,27/01/25,14:22:08,Cancelled,308.4
150,44,18,Pani Puri,03/01/25,20:01:52,Preparing,1289.24
151,48,6,Dal Makhani,26/07/24,14:11:19,Confirmed,1797.49
152,46,7,Dhokla,19/11/24,13:58:22,Pending,1807.89
153,35,75,Fish Curry,04/07/24,22:16:40,Preparing,1678.06
154,40,63,Butter Chicken,12/03/24,11:55:02,Out for Delivery,537.73
155,15,13,Bombay Sandwich,24/03/24,18:47:01,Out for Delivery,1601.81
156,11,26,Samosa,25/12/24,16:50:35,Out for Delivery,1381.44
157,5,39,Palak Paneer,07/11/24,18:26:13,Preparing,1585.23
158,9,81,Pav Bhaji,21/05/24,16:37:09,Cancelled,1162.44
159,5,46,Thepla,08/07/24,18:07:02,Out for Delivery,1152.44
160,44,111,Kheer,17/01/25,18:19:19,Confirmed,1152.59
161,32,32,Tandoori Roti,04/07/24,20:59:56,Confirmed,1493.44
162,44,60,Rajma Chawal,23/06/24,13:02:37,Pending,1478.8
163,46,15,Rajma Chawal,01/10/24,14:35:31,Out for Delivery,168.56
164,36,149,Pav Bhaji,24/04/24,14:19:04,Cancelled,727.33
165,10,3,Dal Baati Churma,16/09/24,21:23:07,Cancelled,1739.77
166,10,28,Tandoori Roti,07/11/24,13:22:11,Cancelled,691.61
167,26,103,Veg Kolhapuri,15/08/24,18:41:43,Pending,1839.46
168,35,80,Gulab Jamun,23/04/24,16:22:24,Preparing,1342.91
169,6,40,Dosa,13/01/25,10:51:30,Delivered,1618.96
170,27,70,Baingan Bharta,25/08/24,22:11:12,Confirmed,460.52
171,30,19,Misal Pav,04/06/24,22:53:29,Preparing,564.15
172,11,49,Bombay Sandwich,06/07/24,13:48:16,Delivered,1483.24
173,45,87,Butter Chicken,07/08/24,14:31:51,Out for Delivery,617.89
174,43,85,Rasgulla,08/06/24,19:48:36,Delivered,1141.78
175,37,14,Mango Lassi,01/01/25,11:53:08,Delivered,396.92
176,30,36,Paneer Tikka,11/01/25,12:15:00,Out for Delivery,584.83
177,23,107,Aloo Paratha,26/05/24,13:40:18,Out for Delivery,147.9
178,22,56,Veg Kolhapuri,27/03/24,12:12:48,Confirmed,1133.16
179,15,30,Aloo Paratha,09/08/24,18:41:55,Pending,1880.98
180,43,69,Veg Kolhapuri,25/09/24,16:26:11,Confirmed,897.07
181,4,102,Veg Kolhapuri,08/04/24,19:34:19,Pending,1108.15
182,20,122,Malpua,05/12/24,10:08:09,Preparing,1007.03
183,34,52,Veg Kolhapuri,02/08/24,20:03:29,Delivered,621.89
184,33,115,Tandoori Chicken,03/07/24,19:58:56,Cancelled,1273.84
185,5,69,Hyderabadi Biryani,10/03/24,22:02:50,Pending,592.74
186,47,43,Mysore Pak,24/08/24,19:38:04,Delivered,1151.94
187,19,50,Dal Baati Churma,01/10/24,10:42:07,Preparing,334.36
188,30,47,Chilli Paneer,12/02/24,13:42:45,Confirmed,826.08
189,21,137,Dal Baati Churma,26/04/24,16:54:07,Preparing,323.86
190,34,136,Biryani,11/11/24,18:37:40,Delivered,1346.97
191,1,44,Chilli Paneer,12/11/24,10:52:22,Pending,1184.64
192,33,71,Dosa,11/02/24,14:21:37,Delivered,1135.86
193,47,116,Litti Chokha,28/01/25,16:35:56,Preparing,1362.99
194,16,87,Vada Pav,22/06/24,13:50:00,Pending,1200.87
195,15,128,Gajar Ka Halwa,09/05/24,21:40:36,Confirmed,884.46
196,34,38,Dosa,31/01/25,16:54:59,Out for Delivery,743.41
197,47,46,Chilli Paneer,27/10/24,20:38:36,Cancelled,425.0
198,2,41,Mango Lassi,13/08/24,15:21:10,Preparing,1657.95
199,15,57,Samosa,03/12/24,20:08:28,Confirmed,794.55
200,25,116,Veg Kolhapuri,05/11/24,16:06:52,Confirmed,899.24
201,38,33,Hyderabadi Biryani,08/01/25,16:03:59,Preparing,521.09
202,38,88,Pav Bhaji,07/06/24,20:45:47,Confirmed,171.35
203,4,55,Rajma Chawal,16/02/24,10:13:46,Preparing,1660.0
204,38,143,Thepla,16/12/24,10:54:26,Confirmed,1661.51
205,46,46,Aloo Paratha,18/12/24,15:16:45,Confirmed,607.09
206,26,42,Hyderabadi Biryani,13/03/24,20:26:13,Cancelled,834.72
207,47,71,Kheer,25/09/24,20:09:15,Preparing,1921.38
208,49,23,Dal Makhani,14/04/24,11:18:42,Delivered,1229.32
209,50,69,Butter Chicken,20/12/24,15:50:07,Cancelled,1017.08
210,25,33,Biryani,03/06/24,21:33:53,Confirmed,829.66
211,19,59,Pani Puri,16/04/24,12:27:16,Delivered,1876.4
212,14,57,Dal Baati Churma,17/09/24,10:11:08,Out for Delivery,822.74
213,7,127,Vada Pav,06/06/24,19:44:40,Confirmed,465.35
214,17,9,Mutton Curry,15/09/24,20:57:42,Pending,219.04
215,42,141,Thepla,22/10/24,22:08:43,Delivered,404.46
216,2,40,Gulab Jamun,04/07/24,13:14:57,Pending,593.89
217,17,76,Rogan Josh,09/01/25,20:06:58,Preparing,1699.3
218,40,95,Palak Paneer,18/05/24,16:34:00,Preparing,1949.0
219,43,127,Pav Bhaji,27/10/24,14:12:55,Out for Delivery,1939.91
220,32,84,Malpua,24/09/24,13:49:58,Pending,1820.71
221,38,108,Veg Kolhapuri,12/11/24,20:21:48,Pending,1569.69
222,23,26,Idli Sambar,04/07/24,10:31:43,Pending,191.88
223,39,121,Dal Makhani,06/05/24,18:43:08,Delivered,1818.19
224,15,40,Fish Curry,12/02/24,17:52:24,Delivered,410.95
225,35,125,Mysore Pak,09/03/24,11:57:21,Preparing,1444.67
226,20,2,Aloo Paratha,17/09/24,17:50:03,Out for Delivery,1546.86
227,39,133,Butter Chicken,29/11/24,17:44:51,Delivered,757.64
228,11,109,Rasgulla,19/04/24,13:02:02,Pending,361.9
229,15,29,Kheer,27/07/24,14:03:31,Out for Delivery,466.79
230,25,2,Rogan Josh,10/10/24,16:28:41,Preparing,1053.88
231,49,24,Kolkata Roll,21/12/24,19:20:36,Pending,427.73
232,3,23,Bombay Sandwich,28/08/24,18:12:49,Pending,1360.14
233,23,29,Vada Pav,26/04/24,15:53:58,Confirmed,1103.15
234,4,78,Rajma Chawal,26/08/24,20:36:51,Preparing,751.94
235,9,34,Pav Bhaji,21/12/24,13:21:51,Cancelled,215.67
236,12,57,Pav Bhaji,10/08/24,18:20:42,Cancelled,848.48
237,33,139,Rogan Josh,04/11/24,20:50:44,Confirmed,1626.02
238,22,150,Pav Bhaji,21/02/24,18:43:45,Preparing,1401.79
239,10,108,Veg Kolhapuri,20/10/24,12:42:45,Cancelled,172.08
240,7,42,Gajar Ka Halwa,21/08/24,14:13:07,Preparing,510.77
241,13,106,Litti Chokha,02/05/24,12:23:58,Cancelled,861.6
242,44,71,Chilli Paneer,21/11/24,11:08:56,Cancelled,1533.01
243,27,4,Kheer,08/08/24,18:17:56,Pending,1025.56
244,45,132,Egg Curry,22/07/24,12:28:46,Pending,1713.06
245,35,109,Samosa,04/05/24,20:59:32,Cancelled,954.36
246,1,42,Malpua,13/05/24,12:12:26,Cancelled,993.53
247,9,74,Bombay Sandwich,05/05/24,21:13:13,Pending,583.5
248,3,108,Litti Chokha,28/01/25,20:43:22,Out for Delivery,493.03
249,8,143,Fish Curry,27/02/24,12:34:23,Pending,959.86
250,31,108,Thepla,26/08/24,21:15:45,Pending,1980.48
251,18,79,Dhokla,05/10/24,15:03:36,Preparing,1997.8
252,25,23,Pav Bhaji,24/09/24,13:27:35,Confirmed,789.5
253,41,4,Kheer,14/02/24,11:18:23,Preparing,1529.0
254,35,10,Rajma Chawal,27/08/24,22:53:15,Cancelled,1138.14
255,28,108,Veg Kolhapuri,14/02/24,12:13:07,Pending,1702.05
256,11,6,Litti Chokha,04/01/25,17:45:26,Out for Delivery,535.77
257,15,37,Chicken Tikka Masala,13/04/24,10:23:58,Cancelled,425.5
258,24,2,Mutton Curry,07/12/24,12:08:54,Preparing,551.86
259,16,114,Idli Sambar,22/01/25,16:53:06,Out for Delivery,151.44
260,2,54,Dal Baati Churma,22/08/24,17:50:58,Delivered,1516.57
261,7,84,Tandoori Chicken,23/03/24,21:07:49,Preparing,666.45
262,41,3,Biryani,03/09/24,22:14:50,Delivered,543.6
263,8,65,Kadhai Paneer,10/08/24,22:30:27,Delivered,1376.72
264,32,120,Pani Puri,20/02/24,15:00:30,Pending,1565.74
265,46,109,Litti Chokha,01/02/25,11:19:08,Delivered,1770.02
266,17,80,Vada Pav,31/05/24,14:37:13,Out for Delivery,1027.08
267,2,137,Baingan Bharta,17/07/24,21:39:34,Confirmed,809.43
268,21,141,Pav Bhaji,15/11/24,12:13:18,Preparing,1647.52
269,48,41,Thepla,18/10/24,12:41:54,Preparing,867.23
270,2,136,Rajma Chawal,26/03/24,21:15:43,Preparing,308.9
271,21,98,Vada Pav,05/07/24,14:17:51,Delivered,1038.9
272,21,37,Samosa,02/05/24,12:18:00,Pending,1866.08
273,29,73,Jalebi,05/07/24,15:21:59,Delivered,366.49
274,7,42,Bombay Sandwich,04/05/24,15:30:33,Out for Delivery,935.07
275,5,2,Tandoori Chicken,21/01/25,20:44:34,Out for Delivery,1727.25
276,34,122,Pani Puri,23/11/24,21:07:53,Out for Delivery,1542.41
277,2,8,Thepla,02/01/25,15:49:35,Delivered,1767.78
278,14,5,Litti Chokha,27/07/24,14:21:50,Pending,650.4
279,9,92,Idli Sambar,26/12/24,22:22:20,Confirmed,1780.6
280,13,87,Chilli Paneer,31/10/24,20:25:24,Out for Delivery,1002.53
281,32,17,Hyderabadi Biryani,18/08/24,16:56:01,Out for Delivery,932.55
282,33,55,Vada Pav,02/07/24,16:11:31,Preparing,1422.92
283,22,125,Hyderabadi Biryani,16/12/24,14:43:01,Cancelled,525.57
284,44,124,Paneer Tikka,14/04/24,19:35:20,Out for Delivery,400.19
285,49,65,Fish Curry,14/03/24,13:45:50,Out for Delivery,1903.08
286,33,128,Kadhai Paneer,06/05/24,15:29:46,Preparing,1129.11
287,47,40,Thepla,12/07/24,15:31:34,Out for Delivery,736.8
288,34,62,Misal Pav,31/07/24,14:23:53,Out for Delivery,1666.54
289,12,82,Tandoori Roti,20/08/24,11:12:35,Pending,1356.61
290,13,14,Dal Makhani,01/06/24,17:12:15,Cancelled,1076.86
291,43,16,Aloo Paratha,03/04/24,20:08:04,Confirmed,428.96
292,3,94,Dosa,13/02/24,11:56:15,Preparing,619.82
293,30,3,Butter Chicken,07/11/24,17:45:12,Confirmed,1559.72
294,8,2,Rajma Chawal,23/03/24,20:26:02,Preparing,850.91
295,8,62,Vada Pav,21/07/24,13:31:43,Preparing,1327.86
296,30,144,Egg Curry,28/03/24,14:53:08,Delivered,1844.99
297,18,96,Fish Curry,05/01/25,19:56:09,Confirmed,224.58
298,38,139,Rasgulla,17/06/24,10:45:42,Cancelled,1020.21
299,4,106,Rajma Chawal,06/07/24,20:44:25,Preparing,693.76
300,45,137,Tandoori Roti,15/03/24,13:11:56,Confirmed,1040.28
301,15,108,Dal Makhani,12/05/24,12:38:17,Cancelled,313.46
302,26,79,Chilli Paneer,22/02/24,11:25:52,Confirmed,1885.81
303,35,144,Hyderabadi Biryani,05/03/24,20:54:50,Preparing,1107.57
304,34,66,Egg Curry,26/04/24,12:20:58,Cancelled,1703.47
305,34,126,Samosa,31/05/24,13:03:00,Confirmed,449.64
306,42,114,Mango Lassi,06/11/24,11:03:07,Cancelled,240.65
307,12,19,Chilli Paneer,28/08/24,17:49:12,Delivered,499.89
308,43,92,Paneer Tikka,23/01/25,14:22:43,Out for Delivery,1836.3
309,11,22,Fish Curry,01/06/24,14:22:46,Out for Delivery,788.93
310,10,106,Tandoori Chicken,14/10/24,18:45:38,Delivered,441.87
311,39,127,Dal Baati Churma,13/08/24,20:47:39,Cancelled,1673.75
312,2,112,Rajma Chawal,05/07/24,21:16:42,Delivered,176.37
313,23,138,Pani Puri,10/09/24,16:55:22,Pending,1338.4
314,36,81,Paneer Tikka,09/10/24,18:27:25,Delivered,852.94
315,45,89,Egg Curry,14/03/24,15:40:07,Out for Delivery,1540.99
316,6,80,Egg Curry,22/07/24,12:01:49,Pending,472.63
317,49,91,Fish Curry,19/04/24,12:07:33,Pending,965.48
318,19,14,Fish Curry,18/10/24,19:53:51,Confirmed,1992.84
319,34,26,Kadhai Paneer,12/07/24,20:08:15,Pending,1088.76
320,26,83,Malpua,14/11/24,16:20:16,Cancelled,548.81
321,32,93,Mango Lassi,27/10/24,22:45:34,Preparing,1484.46
322,2,116,Misal Pav,17/12/24,10:35:57,Pending,710.7
323,33,67,Rajma Chawal,05/12/24,16:48:18,Confirmed,1421.81
324,14,98,Pesarattu,18/03/24,19:11:15,Cancelled,1898.93
325,10,123,Egg Curry,29/10/24,18:54:05,Delivered,472.43
326,10,59,Egg Curry,25/03/24,22:35:10,Cancelled,1281.06
327,27,45,Kolkata Roll,18/11/24,11:17:51,Cancelled,541.12
328,22,52,Mutton Curry,02/01/25,19:38:13,Preparing,189.28
329,13,109,Dal Makhani,18/05/24,20:25:27,Delivered,307.02
330,43,52,Baingan Bharta,05/08/24,22:59:43,Pending,609.47
331,17,77,Pesarattu,05/01/25,19:00:12,Out for Delivery,682.54
332,23,103,Baingan Bharta,12/03/24,17:45:44,Pending,188.14
333,32,148,Chilli Paneer,06/02/25,16:01:41,Delivered,287.68
334,27,43,Rasgulla,12/03/24,10:41:22,Cancelled,1499.29
335,40,144,Kadhai Paneer,11/09/24,14:52:42,Delivered,1038.07
336,26,136,Dal Makhani,13/07/24,10:24:18,Delivered,1765.35
337,27,126,Bombay Sandwich,20/05/24,13:54:11,Cancelled,235.63
338,34,77,Paneer Tikka,15/05/24,21:04:20,Out for Delivery,728.9
339,21,133,Thepla,30/08/24,18:41:35,Out for Delivery,568.24
340,25,137,Tandoori Chicken,15/05/24,12:20:51,Preparing,1341.8
341,50,44,Mysore Pak,30/08/24,12:51:59,Confirmed,1301.38
342,5,41,Bombay Sandwich,26/09/24,12:34:32,Confirmed,1493.45
343,27,94,Mango Lassi,23/07/24,13:17:57,Confirmed,895.69
344,44,150,Dhokla,02/08/24,10:37:33,Delivered,1421.11
345,4,36,Gulab Jamun,25/02/24,16:32:22,Out for Delivery,135.1
346,14,27,Kheer,28/08/24,20:20:41,Delivered,1341.62
347,50,69,Hyderabadi Biryani,16/06/24,14:29:10,Out for Delivery,1801.04
348,21,37,Gulab Jamun,31/08/24,10:56:53,Preparing,1571.08
349,47,13,Chilli Paneer,29/12/24,16:49:01,Out for Delivery,1792.21
350,10,129,Kadhai Paneer,22/01/25,17:22:19,Out for Delivery,1868.22
351,8,144,Baingan Bharta,05/11/24,14:54:05,Preparing,1593.35
352,45,99,Baingan Bharta,21/11/24,18:08:22,Delivered,1098.22
353,11,46,Misal Pav,23/08/24,10:34:38,Out for Delivery,1818.58
354,21,25,Malpua,14/02/24,19:00:23,Out for Delivery,1856.7
355,42,138,Aloo Paratha,09/04/24,10:52:50,Preparing,230.5
356,34,120,Malpua,17/10/24,14:30:06,Out for Delivery,987.59
357,41,43,Idli Sambar,09/08/24,15:24:44,Preparing,1187.29
358,16,106,Aloo Paratha,30/04/24,18:45:34,Pending,946.01
359,45,39,Paneer Tikka,06/05/24,18:49:06,Preparing,867.68
360,46,13,Dosa,16/10/24,16:05:19,Cancelled,1736.06
361,37,135,Rasgulla,15/04/24,19:06:21,Cancelled,978.27
362,42,92,Gajar Ka Halwa,14/10/24,15:28:06,Pending,1400.68
363,19,116,Dal Makhani,25/07/24,22:42:19,Confirmed,279.64
364,31,67,Dosa,18/05/24,19:12:47,Delivered,494.56
365,13,11,Chilli Paneer,11/05/24,20:18:43,Delivered,113.78
366,1,147,Kheer,04/12/24,15:40:38,Out for Delivery,1910.06
367,10,121,Chilli Paneer,05/09/24,17:45:48,Delivered,457.29
368,15,30,Chole Bhature,02/09/24,13:25:32,Cancelled,1866.14
369,30,80,Thepla,01/03/24,10:08:42,Out for Delivery,603.18
370,37,103,Butter Chicken,24/04/24,18:21:26,Cancelled,904.2
371,34,55,Dal Baati Churma,16/04/24,13:10:49,Out for Delivery,1469.57
372,32,73,Jalebi,02/07/24,13:58:57,Pending,275.19
373,30,14,Paneer Tikka,01/03/24,21:48:37,Preparing,1066.1
374,38,127,Pani Puri,17/10/24,11:47:23,Pending,846.67
375,32,21,Chicken Tikka Masala,31/12/24,14:07:23,Confirmed,1872.47
376,21,10,Kheer,30/11/24,11:48:54,Cancelled,1636.41
377,48,127,Chicken Tikka Masala,04/05/24,21:09:01,Pending,698.69
378,5,35,Misal Pav,07/03/24,17:39:16,Delivered,1716.95
379,5,139,Bombay Sandwich,11/05/24,21:47:58,Preparing,128.29
380,16,62,Bombay Sandwich,28/03/24,21:17:52,Cancelled,1137.98
381,3,107,Paneer Tikka,16/05/24,20:02:07,Out for Delivery,360.7
382,49,81,Chilli Paneer,28/04/24,10:49:06,Pending,1026.61
383,29,131,Vada Pav,28/10/24,13:01:04,Preparing,552.69
384,35,26,Jalebi,24/12/24,22:32:22,Delivered,224.0
